id	parlamentarier_id	stichdatum	in_liste	verguetung_transparent	freigabe_datum	parlamentarier_name	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache
535	63	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Bulliard-Marbach, Christine"	"NR"	"FR"	"CVP"	"M-CEB"	"APF-V, APK-NR, UREK-NR"	2011-12-05		"F"	1959-10-13	4101	3017	"de"	"de"
291	63	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Bulliard-Marbach, Christine"	"NR"	"FR"	"CVP"	"M-CEB"	"APF-V, APK-NR, UREK-NR"	2011-12-05		"F"	1959-10-13	4101	3017	"de"	"de"
37	63	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Bulliard-Marbach, Christine"	"NR"	"FR"	"CVP"	"M-CEB"	"APF-V, APK-NR, UREK-NR"	2011-12-05		"F"	1959-10-13	4101	3017	"de"	"de"
536	272	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Burgherr, Thomas"	"NR"	"AG"	"SVP"	"V"	"WAK-NR"	2015-11-30		"M"	1962-08-01	4158	3064	"de"	"de"
292	272	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Burgherr, Thomas"	"NR"	"AG"	"SVP"	"V"	"WAK-NR"	2015-11-30		"M"	1962-08-01	4158	3064	"de"	"de"
38	272	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Burgherr, Thomas"	"NR"	"AG"	"SVP"	"V"	"WAK-NR"	2015-11-30		"M"	1962-08-01	4158	3064	"de"	"de"
537	273	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Burkart, Thierry"	"SR"	"AG"	"FDP"	"RL"	"GPK-SR, KVF-SR, RedK-V, SiK-SR"	2015-11-30		"M"	1975-08-21	4189	3065	"de"	"de"
293	273	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Burkart, Thierry"	"SR"	"AG"	"FDP"	"RL"	"GPK-SR, KVF-SR, RedK-V, SiK-SR"	2015-11-30		"M"	1975-08-21	4189	3065	"de"	"de"
39	273	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Burkart, Thierry"	"SR"	"AG"	"FDP"	"RL"	"GPK-SR, KVF-SR, RedK-V, SiK-SR"	2015-11-30		"M"	1975-08-21	4189	3065	"de"	"de"
539	65	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Candinas, Martin"	"NR"	"GR"	"CVP"	"M-CEB"	"Bü-NR, KVF-NR, SiK-NR, VD"	2011-12-05		"M"	1980-08-20	4070	2770	"rm"	"de"
295	65	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Candinas, Martin"	"NR"	"GR"	"CVP"	"M-CEB"	"Bü-NR, KVF-NR, SiK-NR, VD"	2011-12-05		"M"	1980-08-20	4070	2770	"rm"	"de"
42	65	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Candinas, Martin"	"NR"	"GR"	"CVP"	"M-CEB"	"Bü-NR, KVF-NR, SiK-NR, VD"	2011-12-05		"M"	1980-08-20	4070	2770	"rm"	"de"
540	4	2019-09-23	1	"teilweise"	2019-12-24T16:11:58	"Carobbio Guscetti, Marina"	"SR"	"TI"	"SP"	"S"	"Del I-V, FK-SR, RedK-V, SGK-SR, WBK-SR"	2007-06-04		"F"	1966-06-12	3830	2666	"it"	"de"
296	4	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Carobbio Guscetti, Marina"	"SR"	"TI"	"SP"	"S"	"Del I-V, FK-SR, RedK-V, SGK-SR, WBK-SR"	2007-06-04		"F"	1966-06-12	3830	2666	"it"	"de"
43	4	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Carobbio Guscetti, Marina"	"SR"	"TI"	"SP"	"S"	"Del I-V, FK-SR, RedK-V, SGK-SR, WBK-SR"	2007-06-04		"F"	1966-06-12	3830	2666	"it"	"de"
541	66	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Caroni, Andrea"	"SR"	"AR"	"FDP"	"RL"	"APK-NS 20-30, APK-SR, Del I-V, GK-V, IPU, RK-SR, SPK-SR"	2011-12-05		"M"	1980-04-19	4075	2775	"de"	"de"
297	66	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Caroni, Andrea"	"SR"	"AR"	"FDP"	"RL"	"APK-NS 20-30, APK-SR, Del I-V, GK-V, IPU, RK-SR, SPK-SR"	2011-12-05		"M"	1980-04-19	4075	2775	"de"	"de"
44	66	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Caroni, Andrea"	"SR"	"AR"	"FDP"	"RL"	"APK-NS 20-30, APK-SR, Del I-V, GK-V, IPU, RK-SR, SPK-SR"	2011-12-05		"M"	1980-04-19	4075	2775	"de"	"de"
542	326	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Cattaneo, Rocco"	"NR"	"TI"	"FDP"	"RL"	"SiK-NR"	2017-11-27		"M"	1958-12-06	4217	3118	"it"	"de"
298	326	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Cattaneo, Rocco"	"NR"	"TI"	"FDP"	"RL"	"SiK-NR"	2017-11-27		"M"	1958-12-06	4217	3118	"it"	"de"
543	67	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Chevalley, Isabelle"	"NR"	"VD"	"GLP"	"GL"	"UREK-NR, WBK-NR"	2011-12-05		"F"	1972-04-13	4108	3604	"fr"	"fr"
299	67	2018-11-19	1	"teilweise"	2019-12-24T16:13:05	"Chevalley, Isabelle"	"NR"	"VD"	"GLP"	"GL"	"UREK-NR, WBK-NR"	2011-12-05		"F"	1972-04-13	4108	3604	"fr"	"fr"
46	67	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Chevalley, Isabelle"	"NR"	"VD"	"GLP"	"GL"	"UREK-NR, WBK-NR"	2011-12-05		"F"	1972-04-13	4108	3604	"fr"	"fr"
544	275	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Chiesa, Marco"	"SR"	"TI"	"SVP"	"V"	"APK-SR, Del I-V, GPK-SR, OSZE, RedK-V, SPK-SR"	2015-11-30		"M"	1974-10-10	4159	3067	"it"	"fr"
300	275	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Chiesa, Marco"	"SR"	"TI"	"SVP"	"V"	"APK-SR, Del I-V, GPK-SR, OSZE, RedK-V, SPK-SR"	2015-11-30		"M"	1974-10-10	4159	3067	"it"	"fr"
47	275	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Chiesa, Marco"	"SR"	"TI"	"SVP"	"V"	"APK-SR, Del I-V, GPK-SR, OSZE, RedK-V, SPK-SR"	2015-11-30		"M"	1974-10-10	4159	3067	"it"	"fr"
548	330	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Crottaz, Brigitte"	"NR"	"VD"	"SP"	"S"	"APK-NR, Del F-V"	2018-02-26		"F"	1957-10-06	4219	3120	"fr"	"fr"
304	330	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Crottaz, Brigitte"	"NR"	"VD"	"SP"	"S"	"APK-NR, Del F-V"	2018-02-26		"F"	1957-10-06	4219	3120	"fr"	"fr"
550	6	2019-09-23	1	"nein"	2019-12-24T16:11:58	"de Courten, Thomas"	"NR"	"BL"	"SVP"	"V"	"GPK-NR, IK-NR, SGK-NR"	2011-12-05		"M"	1966-07-29	4051	2757	"de"	"de"
306	6	2018-11-19	1	"nein"	2019-12-24T16:13:05	"de Courten, Thomas"	"NR"	"BL"	"SVP"	"V"	"GPK-NR, IK-NR, SGK-NR"	2011-12-05		"M"	1966-07-29	4051	2757	"de"	"de"
52	6	2017-05-27	1	"nein"	2019-12-24T16:13:39	"de Courten, Thomas"	"NR"	"BL"	"SVP"	"V"	"GPK-NR, IK-NR, SGK-NR"	2011-12-05		"M"	1966-07-29	4051	2757	"de"	"de"
551	276	2019-09-23	1	"ja"	2019-12-24T16:11:58	"de la Reussille, Denis"	"NR"	"NE"	"PdA"	"G"	"APK-NR"	2015-11-30		"M"	1960-10-24	4201	3068	"fr"	"fr"
307	276	2018-11-19	1	"nein"	2019-12-24T16:13:05	"de la Reussille, Denis"	"NR"	"NE"	"PdA"	"G"	"APK-NR"	2015-11-30		"M"	1960-10-24	4201	3068	"fr"	"fr"
53	276	2017-05-27	1	"ja"	2019-12-24T16:13:39	"de la Reussille, Denis"	"NR"	"NE"	"PdA"	"G"	"APK-NR"	2015-11-30		"M"	1960-10-24	4201	3068	"fr"	"fr"
1040	392	2020-12-31	1	"nein"	2020-01-16T12:43:39	"de Quattro, Jacqueline"	"NR"	"VD"	"FDP"	"RL"	"IK-NR, SiK-NR"	2019-10-20		"F"	1960-06-24	4257	3149	"fr"	"fr"
794	392	2020-01-30	1	"nein"	2020-01-16T12:43:39	"de Quattro, Jacqueline"	"NR"	"VD"	"FDP"	"RL"	"IK-NR, SiK-NR"	2019-10-20		"F"	1960-06-24	4257	3149	"fr"	"fr"
553	277	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Dettling, Marcel"	"NR"	"SZ"	"SVP"	"V"	"WAK-NR"	2015-11-30		"M"	1981-02-01	4160	3069	"de"	"de"
309	277	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Dettling, Marcel"	"NR"	"SZ"	"SVP"	"V"	"WAK-NR"	2015-11-30		"M"	1981-02-01	4160	3069	"de"	"de"
55	277	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Dettling, Marcel"	"NR"	"SZ"	"SVP"	"V"	"WAK-NR"	2015-11-30		"M"	1981-02-01	4160	3069	"de"	"de"
