Datum,Aktenzeichen
02.02.2009,5A_825/2008
12.04.2010,6B_82/2010
13.11.2009,5A_636/2009
08.02.2007,5C.317/2006
18.07.2012,4A_386/2012
25.01.2010,1B_265/2009
14.06.2007,5A_296/2007
28.04.2008,9C_737/2007
25.02.2008,6B_811/2007
06.07.2009,4D_98/2009
03.10.2007,8C_397/2007
15.02.2012,9C_33/2012
26.09.2012,6B_464/2012
24.03.2015,2C_92/2015
23.12.2011,5A_900/2011
27.10.2007,6B_412/2007
27.12.2007,1B_299/2007
20.12.2012,2C_1243/2012
01.09.2008,2C_366/2008
07.05.2012,9C_791/2011
20.03.2008,9C_187/2008
02.04.2012,1B_181/2012
12.05.2011,5A_230/2011
02.04.2012,2C_308/2012
27.12.2007,1B_302/2007
14.01.2008,4A_1/2008
07.06.2010,5D_75/2010
14.07.2014,5A_171/2014
14.08.2008,9C_869/2007
23.05.2007,2D_37/2007
26.02.2008,1C_258/2007
22.11.2012,2C_500/2012
14.02.2012,1B_17/2012
05.11.2012,2C_1084/2012
25.01.2016,2C_5/2016
25.01.2010,2C_519/2009
28.12.2007,8C_151/2007
19.12.2008,9C_871/2008
30.10.2012,2C_1017/2012
02.10.2013,1C_136/2013
16.08.2010,9C_212/2010
25.06.2007,5A_236/2007
18.05.2016,9C_123/2016
06.08.2012,2D_40/2012
08.10.2013,1C_604/2013
08.10.2010,8C_729/2010
22.03.2012,9C_954/2011
04.12.2014,6B_902/2014
09.06.2009,1C_159/2009
05.06.2012,6B_733/2011
13.08.2012,1B_294/2012
12.12.2008,2C_741/2008
20.05.2008,6B_342/2008
21.11.2012,1B_295/2012
12.12.2016,1B_342/2016
08.06.2011,8C_243/2011
26.02.2008,1B_271/2007
13.12.2016,8C_799/2016
02.10.2015,1B_326/2015
08.02.2012,8C_570/2011
13.07.2010,5D_103/2010
02.04.2008,8C_277/2007
24.02.2010,8C_929/2009
20.12.2010,5A_897/2010
15.12.2011,5A_873/2011
16.12.2015,4A_346/2015
03.04.2008,2C_759/2007
09.06.2011,2C_490/2011
19.03.2009,9C_533/2008
19.07.2011,2C_491/2011
30.04.2008,2C_287/2008
26.12.2008,6B_872/2008
20.01.2009,1B_5/2009
09.03.2007,1P.342/2006
13.05.2009,4A_182/2009
23.04.2013,4A_210/2013
05.10.2012,9C_192/2012
16.11.2009,1B_170/2009
22.07.2008,1C_209/2008
04.04.2016,1B_102/2016
15.12.2008,1B_317/2008
16.07.2008,4D_70/2008
23.08.2012,9C_311/2012
29.01.2008,1B_4/2008
04.02.2016,5D_169/2015
24.03.2015,6B_1212/2014
30.12.2015,9C_900/2015
04.04.2011,5A_68/2011
29.04.2016,1C_187/2016
12.06.2007,5A_300/2007
20.04.2007,4C.375/2006
19.05.2008,1C_110/2008
12.09.2008,6B_660/2008
04.06.2009,8C_192/2009
26.05.2010,4A_433/2009
06.12.2012,1B_543/2012
23.05.2008,1C_183/2008
19.06.2013,2C_548/2013
26.02.2008,5A_45/2008
02.02.2007,5P.530/2006
20.03.2012,2C_876/2011
21.08.2008,5A_283/2008
30.04.2013,1B_168/2013
13.12.2016,5A_655/2016
11.10.2007,1C_108/2007
22.07.2014,6B_650/2014
08.08.2012,4F_11/2012
12.12.2016,8C_566/2016
14.04.2008,6B_678/2007
01.11.2011,2C_527/2009
08.06.2011,6B_319/2011
28.11.2012,2C_1169/2012
27.02.2014,5A_971/2013
20.10.2011,8C_728/2011
02.05.2012,1C_136/2012
17.05.2010,4D_62/2010
16.09.2015,1B_283/2015
18.04.2008,4D_38/2008
24.07.2008,2C_519/2008
23.06.2008,9C_773/2007
26.02.2013,1G_1/2013
20.06.2011,8C_55/2011
02.12.2008,8C_869/2008
18.09.2012,1B_490/2012
14.06.2007,1G_1/2007
05.02.2010,1C_69/2010
11.12.2007,6B_630/2007
04.05.2015,6B_48/2015
12.10.2007,9C_586/2007
16.06.2016,9C_401/2016
18.03.2008,6B_364/2007
15.07.2010,5D_91/2010
02.02.2016,5F_11/2015
03.05.2013,1B_121/2013
11.01.2008,5A_715/2007
17.02.2011,8C_112/2011
14.02.2014,8C_472/2013
10.07.2008,5A_462/2008
24.06.2010,2C_881/2008
20.12.2011,1C_174/2011
26.05.2011,5D_74/2011
08.07.2009,9C_446/2009
08.12.2008,8F_18/2008
03.09.2014,9C_154/2014
07.02.2011,1B_17/2011
27.10.2015,5D_187/2015
12.08.2008,5A_364/2008
28.10.2010,9C_868/2010
06.10.2011,1C_414/2011
02.03.2012,6B_631/2011
10.07.2008,5A_457/2008
19.10.2011,1C_327/2011
23.03.2011,5D_41/2011
30.11.2011,1B_474/2011
11.01.2011,2C_618/2010
22.03.2011,5D_40/2011
09.04.2009,6B_879/2008
08.06.2007,6B_136/2007
04.11.2013,1B_373/2013
02.12.2013,5D_225/2013
09.08.2011,5A_14/2011
24.01.2014,1C_37/2014
20.06.2008,4A_202/2008
23.08.2010,4A_258/2010
12.03.2010,8C_17/2010
14.10.2014,8C_567/2014
26.07.2012,1B_436/2012
19.03.2013,6B_672/2012
29.10.2012,2C_331/2012
01.06.2010,2C_24/2010
13.12.2016,8C_153/2016
24.02.2009,6B_97/2009
13.12.2016,8C_473/2016
12.12.2016,9C_527/2016
21.10.2010,4F_11/2010
25.04.2012,2C_11/2012
23.11.2015,2C_1034/2015
13.04.2016,1B_141/2016
04.07.2008,8C_485/2008
22.05.2008,4A_11/2008
01.10.2007,5D_103/2007
15.06.2011,5A_392/2011
25.02.2014,2D_8/2014
22.10.2007,1B_232/2007
25.03.2015,4A_627/2014
16.12.2008,9C_478/2008
22.05.2013,2C_474/2013
08.07.2014,5A_897/2013
01.09.2007,6B_210/2007
09.07.2012,9C_142/2012
22.03.2012,9C_143/2012
09.09.2008,1C_343/2008
26.03.2010,6B_1006/2009
13.11.2007,5A_579/2007
26.04.2012,8C_235/2012
02.02.2010,9C_64/2009
14.02.2008,9C_887/2007
09.03.2012,5A_69/2012
19.08.2009,8C_862/2008
09.12.2009,5A_770/2009
21.02.2007,6B_4/2007
30.04.2009,9C_243/2009
07.02.2014,6B_34/2014
13.07.2010,6B_585/2010
25.02.2016,6B_403/2015
17.09.2012,8C_594/2012
28.08.2008,5A_561/2008
10.09.2012,5A_494/2012
14.07.2008,2C_513/2008
12.07.2012,9C_134/2012
12.12.2016,9C_587/2016
13.12.2016,6F_32/2016
18.07.2008,6B_444/2008
08.12.2016,6B_1264/2016
28.03.2008,5A_94/2008
18.08.2014,4A_584/2013
23.09.2015,5A_740/2015
11.08.2008,2C_488/2008
04.02.2010,5D_189/2009
13.12.2016,4A_293/2016
19.08.2009,9C_570/2009
