,Politician,Google Search Results
129,Eric Nussbaumer Ständerat,Ungefähr 12’000 Ergebnisse (0.32 Sekunden) 
130,Nicolo Paganini Ständerat,Ungefähr 4’210 Ergebnisse (0.42 Sekunden) 
131,Pierre-André Page Ständerat,Ungefähr 44’800 Ergebnisse (0.40 Sekunden) 
132,Isabelle Pasquier-Eichenberger Ständerat,Ungefähr 1’790 Ergebnisse (0.34 Sekunden) 
133,Gerhard Pfister Ständerat,Ungefähr 26’300 Ergebnisse (0.38 Sekunden) 
134,Valérie Piller Carrard Ständerat,Ungefähr 5’320 Ergebnisse (0.37 Sekunden) 
135,François Pointet Ständerat,Ungefähr 1’640 Ergebnisse (0.43 Sekunden) 
136,Léonore Porchet Ständerat,Ungefähr 1’510 Ergebnisse (0.33 Sekunden) 
137,Hans-Peter Portmann Ständerat,Ungefähr 13’600 Ergebnisse (0.36 Sekunden) 
138,Katharina Prelicz-Huber Ständerat,Ungefähr 8’120 Ergebnisse (0.32 Sekunden) 
139,Stefania Prezioso Batou Ständerat,Ungefähr 716 Ergebnisse (0.36 Sekunden) 
140,Jon Pult Ständerat,Ungefähr 5’530 Ergebnisse (0.47 Sekunden) 
141,Valentine Python Ständerat,Ungefähr 652 Ergebnisse (0.30 Sekunden) 
142,Lorenzo Quadri Ständerat,Ungefähr 6’030 Ergebnisse (0.43 Sekunden) 
143,Thomas Rechsteiner Ständerat,Ungefähr 21’300 Ergebnisse (0.36 Sekunden) 
144,Fabio Regazzi Ständerat,Ungefähr 6’370 Ergebnisse (0.33 Sekunden) 
145,Lukas Reimann Ständerat,Ungefähr 17’000 Ergebnisse (0.39 Sekunden) 
146,Mathias Reynard Ständerat,Ungefähr 7’680 Ergebnisse (0.36 Sekunden) 
147,Maja Riniker Ständerat,Ungefähr 1’980 Ergebnisse (0.34 Sekunden) 
148,Markus Ritter Ständerat,Ungefähr 26’900 Ergebnisse (0.43 Sekunden) 
149,Benjamin Roduit Ständerat,Ungefähr 4’610 Ergebnisse (0.33 Sekunden) 
150,Marco Romano Ständerat,Ungefähr 9’600 Ergebnisse (0.38 Sekunden) 
151,Albert Rösti Ständerat,Ungefähr 22’100 Ergebnisse (0.36 Sekunden) 
152,Franziska Roth Ständerat,Ungefähr 25’000 Ergebnisse (0.38 Sekunden) 
153,Marie-France Roth Pasquier Ständerat,Ungefähr 2’590 Ergebnisse (0.34 Sekunden) 
154,Monika Rüegger Ständerat,Ungefähr 5’230 Ergebnisse (0.51 Sekunden) 
155,Franz Ruppen Ständerat,Ungefähr 11’700 Ergebnisse (0.33 Sekunden) 
156,Gregor Rutz Ständerat,Ungefähr 11’800 Ergebnisse (0.32 Sekunden) 
157,Franziska Ryser Ständerat,Ungefähr 5’310 Ergebnisse (0.41 Sekunden) 
158,Regula Rytz Ständerat,Ungefähr 20’000 Ergebnisse (0.36 Sekunden) 
159,Regine Sauter Ständerat,Ungefähr 7’070 Ergebnisse (0.40 Sekunden) 
160,Barbara Schaffner Ständerat,Ungefähr 6’380 Ergebnisse (0.40 Sekunden) 
161,Peter Schilliger Ständerat,Ungefähr 7’770 Ergebnisse (0.39 Sekunden) 
162,Therese Schläpfer Ständerat,Ungefähr 6’630 Ergebnisse (0.35 Sekunden) 
163,Marionna Schlatter Ständerat,Ungefähr 5’900 Ergebnisse (0.40 Sekunden) 
164,Daniela Schneeberger Ständerat,Ungefähr 10’900 Ergebnisse (0.48 Sekunden) 
165,Meret Schneider Ständerat,Ungefähr 3’840 Ergebnisse (0.33 Sekunden) 
166,Ursula Schneider Schüttel Ständerat,Ungefähr 9’580 Ergebnisse (0.37 Sekunden) 
167,Elisabeth Schneider-Schneiter Ständerat,Ungefähr 17’600 Ergebnisse (0.38 Sekunden) 
168,Pirmin Schwander Ständerat,Ungefähr 9’980 Ergebnisse (0.34 Sekunden) 
169,Priska Seiler Graf Ständerat,Ungefähr 14’600 Ergebnisse (0.40 Sekunden) 
170,Heinz Siegenthaler Ständerat,Ungefähr 9’160 Ergebnisse (0.38 Sekunden) 
171,Andri Silberschmidt Ständerat,Ungefähr 5’880 Ergebnisse (0.39 Sekunden) 
172,Sandra Sollberger Ständerat,Ungefähr 8’480 Ergebnisse (0.48 Sekunden) 
173,Simon Stadler Ständerat,Ungefähr 10’200 Ergebnisse (0.38 Sekunden) 
174,Barbara Steinemann Ständerat,Ungefähr 7’480 Ergebnisse (0.37 Sekunden) 
175,Bruno Storni Ständerat,Ungefähr 882 Ergebnisse (0.35 Sekunden) 
176,Marianne Streiff-Feller Ständerat,Ungefähr 8’670 Ergebnisse (0.42 Sekunden) 
177,Manuel Strupler Ständerat,Ungefähr 4’810 Ergebnisse (0.43 Sekunden) 
