Date,ID,URL,Valid Phish
Jan 28 2017 7:05 AM,4774453,https://paypal.com-verifycationsaccount.srintil.com/...,Unknown
Jan 28 2017 7:05 AM,4774452,http://grandgroup.co.rs/redirect.php,Unknown
Jan 28 2017 7:04 AM,4774451,http://ch-agb-autoricardo.ch/,Unknown
Jan 27 2017 6:33 PM,4773569,http://www.m9awed-anouar.cloud/Netflix-japone5/netflix/...,Unknown
Jan 27 2017 6:33 PM,4773566,http://vanhoatongiao.com/administrator/modules/mod_login/tmpl/superdat...,Unknown
Jan 27 2017 4:19 PM,4773287,http://www.app-acc2017.com/Login-account/,Unknown
Jan 27 2017 2:40 PM,4772984,http://www.mercadomineiro.com.br/adminpreco/upload/red.php...,Unknown
Jan 27 2017 2:40 PM,4772982,http://bakahungary.com/Your-Account-Check-Account-Login/Your-Account-C...,Unknown
Jan 27 2017 2:34 PM,4772979,https://www.weddingliving.ch/modules/paypal-security/...,Unknown
Jan 27 2017 2:05 PM,4772790,https://pypal.en-ch-idaccs-accnt-wb-src-cgi-29918.com/webapps/...,Unknown
Jan 27 2017 8:17 AM,4772427,http://www.applestorebetaw3xkf2.ghubstore.com/sign_in/...,Unknown
Jan 27 2017 8:17 AM,4772426,http://www.applecom3jM2fm.icn-gmbh.biz/.applerestore696/...,Unknown
Jan 27 2017 8:12 AM,4772424,https://lehost.com.br/new/mpp/webapps/home/,Unknown
Jan 27 2017 8:11 AM,4772422,http://purplehaze.be/language/index_files/prefetch_data/regional/06e9b...,Unknown
Jan 27 2017 8:11 AM,4772421,http://purplehaze.be/language/index_files/prefetch_data/regional/...,Unknown
Feb 7 2017 7:04 AM,4795675,http://revistaip.com/administrator/language/es-ES/outlook.office365.co...,Unknown
Feb 7 2017 7:04 AM,4795674,http://revistaip.com/administrator/language/es-ES/outlook.office365.co...,Unknown
Feb 7 2017 6:45 AM,4795668,http://cliqmedia.nl/postfinancecc/postfinancecc/index.php...,Unknown
Feb 7 2017 6:45 AM,4795666,http://www.applestore7skowq63xfh.supaslide.net/sign_in/...,Unknown
Feb 7 2017 6:45 AM,4795665,http://www.applecomjQi6DW.fabienlege.fr/.appid56/...,Unknown
Feb 7 2017 5:47 AM,4795634,http://moiseevo.admkotovo.ru/libraries/pattemplate/patTemplate/Dump/re...,Unknown
Feb 7 2017 5:47 AM,4795633,http://moiseevo.admkotovo.ru/libraries/pattemplate/patTemplate/Dump/re...,Unknown
Feb 7 2017 5:47 AM,4795632,http://dossifs.com/components/com_newsfeeds/views/categories/tmpl/...,Unknown
Feb 7 2017 5:45 AM,4795631,https://www.h24limpezas.com/cfs/,Unknown
Feb 7 2017 5:45 AM,4795630,http://wellsfargowells.square7.ch/well%202017%20ful/...,Unknown
Feb 6 2017 5:15 PM,4794707,http://log-aviator1.webnode.fr/,Unknown
Feb 6 2017 5:10 PM,4794652,https://www.caminoalcielo.com.co/media/com_uniterevolution2/assets/rs-...,Unknown
Feb 6 2017 5:10 PM,4794649,https://secure207.inmotionhosting.com/~blogsl5/docinfos/rtcf/cxx0vxcv3...,Unknown
Feb 6 2017 5:04 PM,4794588,http://www.waltdisneyexchange.co.uk/pictures/11044/thumb/u-p-d-a-t-e-y...,Unknown
Feb 6 2017 4:56 PM,4794580,http://50.87.109.143/~agjoyeri/Confirm/,Unknown
Feb 6 2017 4:56 PM,4794579,https://jvwithanthony.com/launches/wp-includes/PPLY-CASE-ID-LIMITED-48...,Unknown
Feb 6 2017 4:56 PM,4794578,https://jvwithanthony.com/launches/wp-includes/PPLY-CASE-ID-LIMITED-48...,Unknown
Feb 6 2017 4:56 PM,4794576,http://www.c-e-b.ma/wp-content/ok/populaire/portailinternet/Pages/...,Unknown
Feb 6 2017 4:49 PM,4794571,http://update-informatie.cus.cgi.mpp.log.ssl.id.log.exkonai9.beget.tec...,Unknown
Feb 6 2017 4:49 PM,4794570,http://tabid-kakaronaldocr7818773.codeanyapp.com/ass/...,Unknown
May 5 2017 2:59 PM,4982957,https://storage.googleapis.com/may2-1/alskiller/sismary5643/1/xdggha1q...,VALID PHISH
May 5 2017 2:24 PM,4982945,http://blancogris.com/Unibas.php,Unknown
May 5 2017 2:08 PM,4982858,http://bluewinmailatrative.weebly.com/,Unknown
May 5 2017 2:07 PM,4982857,http://sso-bluewin-ch.webnode.fr/,Unknown
May 5 2017 2:07 PM,4982856,http://bluewi.webnode.fr/,Unknown
May 5 2017 2:07 PM,4982854,http://bluewinchr.weebly.com/,Unknown
May 5 2017 2:06 PM,4982853,http://updating-001-site1.ftempurl.com/,Unknown
May 5 2017 1:20 PM,4982823,https://tylerpegram.com/Account/sign-in.php,Unknown
May 5 2017 1:19 PM,4982822,https://team-supports.cf/www/redirect.php,Unknown
May 5 2017 12:08 PM,4982338,http://a.lableabc.top/qbgps.html,Unknown
May 5 2017 9:45 AM,4982217,http://acr.suisscard.ch.secure3d.info.webdevvis.net/ns/704e9455ffb4bbc...,VALID PHISH
May 5 2017 9:45 AM,4982216,http://acr.suisscard.ch.secure3D.info.webdevvis.net/ns/...,VALID PHISH
May 5 2017 9:44 AM,4982215,http://bluewin27.webnode.fr/,Unknown
May 5 2017 7:15 AM,4982115,http://uzh-ch.ucoz.net/uzh-ch.html,Unknown
May 5 2017 5:28 AM,4982007,http://unifr-ch.000webhostapp.com/,Unknown
May 5 2017 5:28 AM,4982006,http://www.leemanchemical.com/tmp/redform_plugin/redform/...,Unknown
May 5 2017 5:27 AM,4982005,http://twoco.com.br/var/package/tmp/dispatch=5885d80a13c0db1fb6947b0ae...,Unknown
May 5 2017 5:27 AM,4982004,http://twoco.com.br/var/package/tmp/dispatch=5885d80a13c0db1fb6947b0ae...,Unknown
May 5 2017 5:27 AM,4982003,http://underwear.stonieren-online.top/einkaufswelt.php...,Unknown
May 5 2017 5:12 AM,4981975,http://sicherheitscenter-pp24.de,Unknown
Sep 23 2018 9:24 AM,5792059,https://fishingwonders.com/js/webhtml/caps.htm...,Unknown
Sep 22 2018 7:39 PM,5791748,http://todofrio.com.mx/controllers/admin/ubs/,VALID PHISH
Sep 22 2018 7:39 PM,5791745,https://omnistellar.com/capatcha.html,VALID PHISH
Sep 22 2018 7:38 PM,5791743,https://www.hope4holland.com/wp-content/plugins/formcraft/file-upload/...,VALID PHISH
Sep 21 2018 12:04 PM,5790573,https://www.airbnb.co.uk-rooms08987654.hostarea.info/index.php/en/home...,VALID PHISH
Sep 21 2018 10:37 AM,5790518,http://acs.swisscard.ch.websession.hotelsenhaja.com/inc/9a7d03/...,VALID PHISH
Sep 21 2018 10:37 AM,5790517,http://acs.swisscard.ch.websession.hotelsenhaja.com/inc/...,VALID PHISH
Sep 21 2018 10:06 AM,5790505,http://greamandollaman.hopto.org/hnm/E1-m/admin.php...,VALID PHISH
Sep 21 2018 10:04 AM,5790504,http://acs.swisscard.ch.websession.hotelsenhaja.com/lib/a9b5ee/...,VALID PHISH
Sep 21 2018 10:04 AM,5790503,http://acs.swisscard.ch.websession.hotelsenhaja.com/lib/...,VALID PHISH
Sep 21 2018 10:00 AM,5790501,http://trasmissione-effettuare.merseine.org/zapkto/cordova/rembourssem...,Unknown
Sep 21 2018 5:45 AM,5790323,https://n3plcpnl0145.prod.ams3.secureserver.net/~hmf3zekpqxu1/w/a/-/...,VALID PHISH
Sep 21 2018 5:44 AM,5790322,http://b5410.blogspot.com/p/blog-page_86.html,VALID PHISH
Sep 21 2018 5:43 AM,5790321,http://todofrio.com.mx/Core/Business/Stock/cms/-/cms/yakuza_ppl...,VALID PHISH
Sep 21 2018 5:43 AM,5790318,http://cp52.zonasprivadasdns.com/~biblioites/.well-known/postfinance/...,VALID PHISH
Sep 21 2018 5:42 AM,5790317,https://ir-seminar.ir/xqw/?,VALID PHISH
Sep 20 2018 4:14 PM,5789884,http://www.monpartenaireressorts.com/sites/default/files/upload/postfi...,VALID PHISH
Sep 20 2018 1:50 PM,5789728,https://magazin-upc.godaddysites.com/,VALID PHISH
Sep 20 2018 11:21 AM,5789559,http://23.249.163.180/retrieve_emails/?,VALID PHISH
Sep 20 2018 8:07 AM,5789468,https://bagss.ml/user/genreal/mi.php?rand=13InboxLightaspxn.1774256418...,VALID PHISH
Feb 1 2018 6:01 AM,5458526,http://holverz8.beget.tech/hilfe/xv032cv1v50cv8cvx8v4vv80cvxv88cv90cx/...,Unknown
Jan 31 2018 7:02 PM,5457567,https://unlock-id-cloud.com/?bs/,Unknown
Jan 31 2018 7:02 PM,5457566,http://www.sensila.com,Unknown
Jan 31 2018 6:00 PM,5457482,http://www.ayma.es/admin/js/tinymce_/jscripts/.../-/Login/...,VALID PHISH
Jan 31 2018 6:00 PM,5457480,http://user56823.vs.speednames.com/ches/9.php,VALID PHISH
Jan 31 2018 4:49 PM,5457377,http://185.81.157.214/8/,Unknown
Jan 31 2018 3:47 PM,5457270,http://www.inkdoha.com/shell/compiler/postf/weclome.html...,VALID PHISH
Jan 31 2018 3:20 PM,5457216,http://www.mrcurtain.co.th/downloader/A/,Unknown
Jan 31 2018 1:23 PM,5457094,http://techtone.nz/9823bfb55eb1a.html,VALID PHISH
Jan 31 2018 1:22 PM,5457093,https://t.co/JIgfxJVTbX,Unknown
Jan 31 2018 12:19 PM,5457045,http://safety.apple.com.wimos.jp/3/,Unknown
Jan 31 2018 10:11 AM,5456952,http://thechinesecelebrant.com.au/vtr/account%20support/admin%20verify...,Unknown
Jan 31 2018 9:47 AM,5456935,https://www.nilesindustrials.com/Shared/index2.php?l=_JeHFUq_VJOXK0QWH...,VALID PHISH
