:TYPE	id:START_ID(organisation_id)	interessengruppe_id:END_ID(interessengruppe_id)
GEHOERT_ZU	555	29
GEHOERT_ZU	556	29
GEHOERT_ZU	557	47
GEHOERT_ZU	558	31
GEHOERT_ZU	559	29
GEHOERT_ZU	560	46
GEHOERT_ZU	561	26
GEHOERT_ZU	562	3
GEHOERT_ZU	563	35
GEHOERT_ZU	564	35
GEHOERT_ZU	565	3
GEHOERT_ZU	566	41
GEHOERT_ZU	567	41
GEHOERT_ZU	568	73
GEHOERT_ZU	569	6
GEHOERT_ZU	571	4
GEHOERT_ZU	572	4
GEHOERT_ZU	573	48
GEHOERT_ZU	575	41
GEHOERT_ZU	576	54
GEHOERT_ZU	577	73
GEHOERT_ZU	578	5
GEHOERT_ZU	579	12
GEHOERT_ZU	580	33
GEHOERT_ZU	581	20
GEHOERT_ZU	582	13
GEHOERT_ZU	583	54
GEHOERT_ZU	584	93
GEHOERT_ZU	585	54
GEHOERT_ZU	586	79
GEHOERT_ZU	588	57
GEHOERT_ZU	589	135
GEHOERT_ZU	590	54
GEHOERT_ZU	591	21
GEHOERT_ZU	592	38
GEHOERT_ZU	593	124
GEHOERT_ZU	594	72
GEHOERT_ZU	595	82
GEHOERT_ZU	596	7
GEHOERT_ZU	597	9
GEHOERT_ZU	598	38
GEHOERT_ZU	599	60
GEHOERT_ZU	600	41
GEHOERT_ZU	601	38
GEHOERT_ZU	602	54
GEHOERT_ZU	603	54
GEHOERT_ZU	604	19
GEHOERT_ZU	605	60
GEHOERT_ZU	606	60
GEHOERT_ZU	607	60
GEHOERT_ZU	608	12
GEHOERT_ZU	609	12
GEHOERT_ZU	610	5
GEHOERT_ZU	611	54
GEHOERT_ZU	612	3
GEHOERT_ZU	613	8
GEHOERT_ZU	614	6
GEHOERT_ZU	615	4
GEHOERT_ZU	616	6
GEHOERT_ZU	617	69
GEHOERT_ZU	618	69
GEHOERT_ZU	619	51
GEHOERT_ZU	620	59
GEHOERT_ZU	621	2
GEHOERT_ZU	622	6
GEHOERT_ZU	623	6
GEHOERT_ZU	624	6
GEHOERT_ZU	625	6
GEHOERT_ZU	626	6
GEHOERT_ZU	627	15
GEHOERT_ZU	628	6
GEHOERT_ZU	629	6
GEHOERT_ZU	630	6
GEHOERT_ZU	631	6
GEHOERT_ZU	632	12
GEHOERT_ZU	633	12
GEHOERT_ZU	634	68
GEHOERT_ZU	635	70
GEHOERT_ZU	636	32
GEHOERT_ZU	637	54
GEHOERT_ZU	638	53
GEHOERT_ZU	639	54
GEHOERT_ZU	640	12
GEHOERT_ZU	641	3
GEHOERT_ZU	642	67
GEHOERT_ZU	643	143
GEHOERT_ZU	644	12
GEHOERT_ZU	645	18
GEHOERT_ZU	646	41
GEHOERT_ZU	647	50
GEHOERT_ZU	648	12
GEHOERT_ZU	649	65
GEHOERT_ZU	650	78
GEHOERT_ZU	651	29
GEHOERT_ZU	652	3
GEHOERT_ZU	653	5
GEHOERT_ZU	654	74
GEHOERT_ZU	655	42
GEHOERT_ZU	656	23
GEHOERT_ZU	657	20
GEHOERT_ZU	658	18
GEHOERT_ZU	659	67
GEHOERT_ZU	661	31
GEHOERT_ZU	662	6
GEHOERT_ZU	663	8
GEHOERT_ZU	664	54
GEHOERT_ZU	665	3
GEHOERT_ZU	666	1
GEHOERT_ZU	667	1
GEHOERT_ZU	668	3
GEHOERT_ZU	669	60
GEHOERT_ZU	670	93
GEHOERT_ZU	671	89
GEHOERT_ZU	672	44
GEHOERT_ZU	673	92
GEHOERT_ZU	674	32
GEHOERT_ZU	675	53
GEHOERT_ZU	676	60
GEHOERT_ZU	677	89
GEHOERT_ZU	678	92
GEHOERT_ZU	679	91
GEHOERT_ZU	680	90
GEHOERT_ZU	681	20
GEHOERT_ZU	682	26
GEHOERT_ZU	683	86
GEHOERT_ZU	684	66
GEHOERT_ZU	686	2
GEHOERT_ZU	687	2
GEHOERT_ZU	688	5
GEHOERT_ZU	689	2
GEHOERT_ZU	690	2
GEHOERT_ZU	691	2
GEHOERT_ZU	692	88
GEHOERT_ZU	693	84
GEHOERT_ZU	694	30
GEHOERT_ZU	695	15
GEHOERT_ZU	696	65
GEHOERT_ZU	697	65
GEHOERT_ZU	698	146
GEHOERT_ZU	699	82
GEHOERT_ZU	700	57
GEHOERT_ZU	701	23
GEHOERT_ZU	702	47
GEHOERT_ZU	703	42
GEHOERT_ZU	704	51
GEHOERT_ZU	705	19
GEHOERT_ZU	706	51
GEHOERT_ZU	707	48
GEHOERT_ZU	708	48
GEHOERT_ZU	709	2
GEHOERT_ZU	713	3
GEHOERT_ZU	714	3
GEHOERT_ZU	715	6
GEHOERT_ZU	716	88
GEHOERT_ZU	717	12
GEHOERT_ZU	718	27
