:TYPE	id:START_ID(organisation_id)	interessenraum_id:END_ID(interessenraum_id)
HAT_INTERESSENRAUM	450	1
HAT_INTERESSENRAUM	451	1
HAT_INTERESSENRAUM	452	1
HAT_INTERESSENRAUM	453	1
HAT_INTERESSENRAUM	454	1
HAT_INTERESSENRAUM	455	1
HAT_INTERESSENRAUM	456	1
HAT_INTERESSENRAUM	457	1
HAT_INTERESSENRAUM	458	4
HAT_INTERESSENRAUM	459	1
HAT_INTERESSENRAUM	460	1
HAT_INTERESSENRAUM	461	1
HAT_INTERESSENRAUM	462	1
HAT_INTERESSENRAUM	463	1
HAT_INTERESSENRAUM	464	1
HAT_INTERESSENRAUM	465	1
HAT_INTERESSENRAUM	466	1
HAT_INTERESSENRAUM	468	1
HAT_INTERESSENRAUM	469	1
HAT_INTERESSENRAUM	470	1
HAT_INTERESSENRAUM	472	1
HAT_INTERESSENRAUM	473	1
HAT_INTERESSENRAUM	474	1
HAT_INTERESSENRAUM	475	1
HAT_INTERESSENRAUM	476	1
HAT_INTERESSENRAUM	477	1
HAT_INTERESSENRAUM	478	1
HAT_INTERESSENRAUM	479	1
HAT_INTERESSENRAUM	480	1
HAT_INTERESSENRAUM	481	1
HAT_INTERESSENRAUM	482	1
HAT_INTERESSENRAUM	483	1
HAT_INTERESSENRAUM	484	1
HAT_INTERESSENRAUM	485	1
HAT_INTERESSENRAUM	486	1
HAT_INTERESSENRAUM	487	1
HAT_INTERESSENRAUM	488	1
HAT_INTERESSENRAUM	489	1
HAT_INTERESSENRAUM	490	1
HAT_INTERESSENRAUM	491	1
HAT_INTERESSENRAUM	492	1
HAT_INTERESSENRAUM	493	1
HAT_INTERESSENRAUM	494	1
HAT_INTERESSENRAUM	495	1
HAT_INTERESSENRAUM	496	1
HAT_INTERESSENRAUM	497	1
HAT_INTERESSENRAUM	498	1
HAT_INTERESSENRAUM	499	1
HAT_INTERESSENRAUM	500	1
HAT_INTERESSENRAUM	501	1
HAT_INTERESSENRAUM	502	1
HAT_INTERESSENRAUM	503	1
HAT_INTERESSENRAUM	504	1
HAT_INTERESSENRAUM	505	2
HAT_INTERESSENRAUM	506	1
HAT_INTERESSENRAUM	507	1
HAT_INTERESSENRAUM	508	2
HAT_INTERESSENRAUM	509	1
HAT_INTERESSENRAUM	510	1
HAT_INTERESSENRAUM	511	1
HAT_INTERESSENRAUM	515	1
HAT_INTERESSENRAUM	516	1
HAT_INTERESSENRAUM	517	1
HAT_INTERESSENRAUM	518	1
HAT_INTERESSENRAUM	519	2
HAT_INTERESSENRAUM	520	1
HAT_INTERESSENRAUM	521	1
HAT_INTERESSENRAUM	522	1
HAT_INTERESSENRAUM	523	1
HAT_INTERESSENRAUM	524	1
HAT_INTERESSENRAUM	525	1
HAT_INTERESSENRAUM	526	1
HAT_INTERESSENRAUM	527	1
HAT_INTERESSENRAUM	528	1
HAT_INTERESSENRAUM	529	4
HAT_INTERESSENRAUM	531	1
HAT_INTERESSENRAUM	532	1
HAT_INTERESSENRAUM	533	1
HAT_INTERESSENRAUM	534	1
HAT_INTERESSENRAUM	535	1
HAT_INTERESSENRAUM	536	1
HAT_INTERESSENRAUM	537	1
HAT_INTERESSENRAUM	538	1
HAT_INTERESSENRAUM	539	1
HAT_INTERESSENRAUM	541	1
HAT_INTERESSENRAUM	542	1
HAT_INTERESSENRAUM	543	1
HAT_INTERESSENRAUM	544	1
HAT_INTERESSENRAUM	545	4
HAT_INTERESSENRAUM	546	1
HAT_INTERESSENRAUM	547	1
HAT_INTERESSENRAUM	548	1
HAT_INTERESSENRAUM	549	1
HAT_INTERESSENRAUM	550	1
HAT_INTERESSENRAUM	551	1
HAT_INTERESSENRAUM	552	1
HAT_INTERESSENRAUM	553	2
HAT_INTERESSENRAUM	554	1
HAT_INTERESSENRAUM	555	3
HAT_INTERESSENRAUM	556	1
HAT_INTERESSENRAUM	557	1
HAT_INTERESSENRAUM	558	5
HAT_INTERESSENRAUM	559	5
HAT_INTERESSENRAUM	560	1
HAT_INTERESSENRAUM	561	1
HAT_INTERESSENRAUM	562	1
HAT_INTERESSENRAUM	563	1
HAT_INTERESSENRAUM	564	1
HAT_INTERESSENRAUM	565	1
HAT_INTERESSENRAUM	566	2
HAT_INTERESSENRAUM	567	2
HAT_INTERESSENRAUM	568	1
HAT_INTERESSENRAUM	569	2
HAT_INTERESSENRAUM	571	1
HAT_INTERESSENRAUM	572	1
HAT_INTERESSENRAUM	573	1
HAT_INTERESSENRAUM	575	1
HAT_INTERESSENRAUM	576	1
HAT_INTERESSENRAUM	577	1
HAT_INTERESSENRAUM	578	1
HAT_INTERESSENRAUM	579	1
HAT_INTERESSENRAUM	580	1
HAT_INTERESSENRAUM	581	1
HAT_INTERESSENRAUM	582	1
HAT_INTERESSENRAUM	583	1
HAT_INTERESSENRAUM	584	1
HAT_INTERESSENRAUM	585	1
HAT_INTERESSENRAUM	586	1
HAT_INTERESSENRAUM	588	1
HAT_INTERESSENRAUM	589	1
HAT_INTERESSENRAUM	590	1
HAT_INTERESSENRAUM	591	1
HAT_INTERESSENRAUM	592	1
HAT_INTERESSENRAUM	593	1
HAT_INTERESSENRAUM	594	1
HAT_INTERESSENRAUM	595	1
HAT_INTERESSENRAUM	596	1
HAT_INTERESSENRAUM	597	5
HAT_INTERESSENRAUM	598	1
HAT_INTERESSENRAUM	599	1
HAT_INTERESSENRAUM	600	1
HAT_INTERESSENRAUM	601	1
HAT_INTERESSENRAUM	602	1
HAT_INTERESSENRAUM	603	4
HAT_INTERESSENRAUM	604	1
HAT_INTERESSENRAUM	605	1
HAT_INTERESSENRAUM	606	1
HAT_INTERESSENRAUM	607	1
HAT_INTERESSENRAUM	608	1
HAT_INTERESSENRAUM	609	1
HAT_INTERESSENRAUM	610	2
HAT_INTERESSENRAUM	611	1
HAT_INTERESSENRAUM	612	1
HAT_INTERESSENRAUM	613	1
HAT_INTERESSENRAUM	614	1
HAT_INTERESSENRAUM	615	1
HAT_INTERESSENRAUM	616	1
HAT_INTERESSENRAUM	617	1
HAT_INTERESSENRAUM	618	1
HAT_INTERESSENRAUM	619	1
HAT_INTERESSENRAUM	620	1
HAT_INTERESSENRAUM	621	1
HAT_INTERESSENRAUM	622	1
HAT_INTERESSENRAUM	623	1
HAT_INTERESSENRAUM	624	1
HAT_INTERESSENRAUM	625	1
HAT_INTERESSENRAUM	626	1
HAT_INTERESSENRAUM	627	1
HAT_INTERESSENRAUM	628	1
HAT_INTERESSENRAUM	629	1
HAT_INTERESSENRAUM	630	1
HAT_INTERESSENRAUM	631	1
HAT_INTERESSENRAUM	632	1
HAT_INTERESSENRAUM	633	4
HAT_INTERESSENRAUM	634	1
HAT_INTERESSENRAUM	635	4
HAT_INTERESSENRAUM	636	1
HAT_INTERESSENRAUM	637	1
HAT_INTERESSENRAUM	638	1
HAT_INTERESSENRAUM	639	1
HAT_INTERESSENRAUM	640	1
HAT_INTERESSENRAUM	641	1
HAT_INTERESSENRAUM	642	1
HAT_INTERESSENRAUM	643	1
HAT_INTERESSENRAUM	644	1
HAT_INTERESSENRAUM	645	1
HAT_INTERESSENRAUM	646	1
HAT_INTERESSENRAUM	647	1
HAT_INTERESSENRAUM	648	2
HAT_INTERESSENRAUM	649	1
HAT_INTERESSENRAUM	650	1
HAT_INTERESSENRAUM	651	1
HAT_INTERESSENRAUM	652	1
HAT_INTERESSENRAUM	653	1
HAT_INTERESSENRAUM	654	1
HAT_INTERESSENRAUM	655	1
HAT_INTERESSENRAUM	656	1
HAT_INTERESSENRAUM	657	1
HAT_INTERESSENRAUM	658	1
HAT_INTERESSENRAUM	659	2
HAT_INTERESSENRAUM	661	1
