:TYPE	id:int	interessenbindung_id:int	jahr:int	verguetung:int	beschreibung:string	quelle_url:string	quelle_url_gueltig:int	quelle:string	freigabe_datum:localdatetime	parlamentarier_id:END_ID(parlamentarier_id)	organisation_id:START_ID(organisation_id)
VERGUETED	292	2532	2015	"0"	"Ehrenamtlich"			"E-Mail Büchel 15.8.2016"	2020-03-26T08:43:04	60	2736
VERGUETED	309	2745	2015	"0"	"ehrenamtlich"			"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40	79	2902
VERGUETED	310	2769	2015	"0"	"ehrenamtlich"			"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40	79	1491
VERGUETED	312	2762	2015	"0"	"ehrenamtlich"			"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40	79	2905
VERGUETED	313	2747	2015	"0"	"ehrenamtlich"			"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40	79	620
VERGUETED	314	1236	2015	"0"	"ehrenamtlich"			"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40	79	1504
VERGUETED	316	2741	2015	"0"				"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40	79	2899
VERGUETED	318	2765	2015	"0"	"ehrenamtlich"			"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40	79	538
VERGUETED	319	4662	2015	"0"	"Sitzungsentschädigung"			"E-Mail Feri 24.8.2016"	2020-11-22T07:47:06	80	54
VERGUETED	321	2638	2015	"0"	"Sitzungsentschädigung"			"E-Mail Feri 24.8.2016"	2020-11-22T07:47:06	80	1594
VERGUETED	323	2640	2015	"0"	"Sitzungsentschädigung"			"E-Mail Feri 24.8.2016"	2020-11-22T07:47:06	80	2810
VERGUETED	325	2646	2015	"0"	"Sitzungsentschädigung"			"E-Mail Feri 24.8.2016"	2020-03-08T11:03:36	80	2816
VERGUETED	328	2299	2015	12502	"Sitzungsentschädigung und Spesen"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2390
VERGUETED	329	2296	2015	2046	"Sitzungsentschädigung"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2387
VERGUETED	330	2300	2015	11100	"Honorar und Sitzungsentschädigung"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2391
VERGUETED	331	2298	2015	800	"Honorar und Sitzungsentschädigung"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2389
VERGUETED	332	2297	2015	4875	"Honorar und Spesen"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2388
VERGUETED	333	2306	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2394
VERGUETED	334	2315	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2402
VERGUETED	335	2324	2015	1300	"Honorar und Sitzungsentschädigung"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2520
VERGUETED	336	2304	2015	600	"Honorar"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2393
