id	parlamentarier_id	person_id	parlamentarier_kommissionen	funktion	funktion_fr	von	bis	updated_by_import	freigabe_datum
1102	422	837	"APF-V, APK-NR, EFTA/EU, RK-NR"	"TGNS"		2019-12-05		2019-12-05T20:33:39	2020-02-17T15:22:57
1105	102	517	"GPDel-V, GPK-SR, SGK-SR, WBK-SR"	"Bio Suisse"		2019-12-05		2019-12-05T20:33:39	2020-01-31T09:24:54
1106	36	552	"Del A-V, Del FL-V, KVF-SR, SGK-SR, WAK-SR"	"Unia"		2019-12-05		2019-12-05T20:33:39	2020-01-31T09:24:54
1107	38	21	"Bü-VBV-V, GK-V, GPK-SR, SGK-SR, SPK-SR"	"Schweizerische Gesundheitsligen-Konferenz"		2019-12-05		2019-12-05T20:33:39	2020-01-31T09:24:54
1108	38	50	"Bü-VBV-V, GK-V, GPK-SR, SGK-SR, SPK-SR"	"Perron Campaigns"		2019-12-05		2019-12-05T20:33:39	2020-07-02T23:02:50
1109	219	32	"APK-NS 20-30, APK-SR, Del D-V, SGK-SR, UREK-SR, WAK-SR"	"Schweizerischer Verband freier Berufe SVFB"		2019-12-09		2019-12-09T09:14:56	2020-01-31T09:24:54
1110	219	318	"APK-NS 20-30, APK-SR, Del D-V, SGK-SR, UREK-SR, WAK-SR"	"Association Spitex privée Suisse ASPS"		2019-12-09		2019-12-09T09:14:56	2020-05-07T12:53:53
1111	36	840	"Del A-V, Del FL-V, KVF-SR, SGK-SR, WAK-SR"	"Schweizerischer Gewerkschaftsbund"		2019-12-09		2019-12-09T09:14:56	2020-02-28T10:52:24
1112	374	841	"APK-NR, Del I-V, RedK-V"	"Ospite"		2019-12-11		2019-12-11T21:26:27	2020-02-28T10:34:10
1113	120	136	"IPU, KVF-NR, SiK-NR"	"Public Affairs Swisscom"		2019-12-11		2019-12-11T21:26:27	2020-01-31T09:24:54
1114	410	842	"GK-V, SGK-NR, SiK-NR"	"umverkehR / actif-trafiC"		2019-12-11		2019-12-11T21:26:27	2020-02-17T14:32:24
1115	410	843	"GK-V, SGK-NR, SiK-NR"	"Collaborateur(rice) personnel(le)"		2019-12-11		2019-12-11T21:26:27	2020-02-15T12:35:12
1116	302	844	"SGK-NR"	"Swissmem"		2019-12-11		2019-12-11T21:26:27	2020-05-28T21:41:52
1117	354	845	"FK-NR, RedK-V"	"Procap Schweiz, Olten"		2019-12-11		2019-12-11T21:26:27	2020-02-17T15:47:00
1118	212	245	"KVF-NR, UREK-NR"	"auto-schweiz"		2019-12-11		2019-12-11T21:26:27	2020-01-31T09:24:54
1119	212	735	"KVF-NR, UREK-NR"	"strasseschweiz / routesuisse"		2019-12-11		2019-12-11T21:26:27	2020-02-28T14:34:56
1120	261	478	"SiK-NR, SPK-NR"	"Invité(e)"		2019-12-16		2019-12-16T15:54:02	2020-01-31T09:24:54
1121	122	317	"UREK-NR"	"ecos AG"		2019-12-16		2019-12-16T15:54:02	2020-01-31T09:24:54
1122	329	846	"Bü-NR, Bü-VBV-V, SPK-NR, VD"	"Schweizerischer Gewerkschaftsbund"		2019-12-16		2019-12-16T15:54:02	2020-02-24T11:13:48
1123	359	681	"SGK-NR"	"Digitale Gesellschaft (DigiGes)"		2019-12-16		2019-12-16T15:54:02	2020-01-31T09:24:54
1124	293	624	"RK-NR, SiK-NR"	"NEBS"		2019-12-16		2019-12-16T15:54:02	2020-01-31T09:24:54
1125	332	666	"APK-NR, APK-NS 20-30, GPK-NR"	"Neue Europäische Bewegung Schweiz (NEBS)"		2019-12-16		2019-12-16T15:54:02	2020-01-31T09:24:54
1126	332	344	"APK-NR, APK-NS 20-30, GPK-NR"	"AllianceSud"		2019-12-16		2019-12-16T15:54:02	2020-07-02T23:02:50
1128	179	533	"Bü-NR, Del I-V, KVF-NR, RedK-V, SPK-NR"	"Travail.Suisse"		2019-12-16		2019-12-16T15:54:02	2020-01-31T09:24:54
1129	346	848	"WAK-NR"	"Suisseculture Sociale"		2019-12-16		2019-12-16T15:54:02	2020-02-15T12:49:07
1130	418	849	"KVF-NR"	"Gast"		2019-12-16		2019-12-16T15:54:02	2020-02-23T11:18:58
1131	334	850	"GPK-NR, KVF-NR"	"VCS Verkehrs-Club der Schweiz"		2019-12-16		2019-12-16T15:54:02	2020-03-06T13:41:50
1132	273	283	"GPK-SR, KVF-SR, RedK-V, SiK-SR"	"Schweizerischer Gewerbeverband"		2019-12-16		2019-12-16T15:54:02	2020-01-31T09:24:54
1133	355	851	"APK-NR, FK-NR, IPU, OSZE"	"Ökostrom Schweiz"		2020-02-09		2020-02-09T12:20:42	2020-04-16T15:11:07
1134	355	437	"APK-NR, FK-NR, IPU, OSZE"	"Plattform Agenda 2030"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1135	358	852	"WAK-NR"	"Persönliche/r Mitarbeiter/in"		2020-02-09		2020-02-09T12:20:42	2020-03-06T13:43:35
1136	53	461	"GK-V, WAK-NR"	"SONART - Musikschaffende Schweiz"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1137	364	853	"GPK-NR, SPK-NR"	"Gast"		2020-02-09		2020-02-09T12:20:42	2020-04-06T12:22:23
1138	424	854	"RK-NR"	"Persönliche/r Mitarbeiter/in"		2020-02-09		2020-02-09T12:20:42	2020-03-06T14:12:22
1139	270	458	"Del F-V, RedK-V, SPK-NR"	"Verband Schweizerischer Kantonalbanken VSKB"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1140	375	390	"BeK-V, UREK-NR"	"Schweizer Heimatschutz"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1141	356	855	"WAK-NR"	"Persönliche/r Mitarbeiter/in"		2020-02-09		2020-02-09T12:20:42	2020-05-28T21:36:25
1142	347	856	"RK-NR"	"LOS - Lesbenorganisation Schweiz"		2020-02-09		2020-02-09T12:20:42	2020-03-06T14:35:55
1143	347	857	"RK-NR"	"Fachstelle Migration Refbejuso"		2020-02-09		2020-02-09T12:20:42	2020-03-12T07:40:55
1144	348	697	"GPK-NR, SPK-NR"	"Leiterin Politik Swisscleantech"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1145	106	602	"WAK-NR"	"Verband Schweizerischer Elektrizitätsunternehmen (VSE)"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1146	110	665	"FK-NR, SGK-NR"	"Personalverband des Bundes"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1147	329	858	"Bü-NR, Bü-VBV-V, SPK-NR, VD"	"Schweizerische Energiestiftung"		2020-02-09		2020-02-09T12:20:42	2020-02-28T14:29:15
1148	351	859	"SGK-NR"	"Union syndicale suisse"		2020-02-09		2020-02-09T12:20:42	2020-03-12T07:38:11
1149	339	860	"SPK-NR"	"SBAA"		2020-02-09		2020-02-09T12:20:42	2020-02-28T14:49:59
1150	407	861	"FK-NR"	"Dedale solutions"		2020-02-09		2020-02-09T12:20:42	2020-03-06T13:52:29
1151	298	566	"APF-V, BeK-V, FK-NR, IK-NR"	"Prometerre"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1152	298	862	"APF-V, BeK-V, FK-NR, IK-NR"	"ASSAF / SALS"		2020-02-09		2020-02-09T12:20:42	2020-04-16T15:11:37
1153	158	863	"APK-NR, APK-NS 20-30, GK-V, RK-NR"	"Association des Banquiers Privés Suisses"		2020-02-09		2020-02-09T12:20:42	2020-05-28T21:33:08
1154	166	195	"APK-NR, Del D-V, IK-NR, SPK-NR"	"Gast"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1155	166	864	"APK-NR, Del D-V, IK-NR, SPK-NR"	"Gast"		2020-02-09		2020-02-09T12:20:42	2020-02-24T18:09:04
1156	168	865	"BeK-V, IK-NR, KVF-NR, WBK-NR"	"Croix-Rouge Suisse"		2020-02-09		2020-02-09T12:20:42	2020-05-30T13:47:11
1157	409	866	"SiK-NR"	"Société vaudoise pour la protection des animaux"		2020-02-09		2020-02-09T12:20:42	2020-02-24T18:18:03
1158	409	867	"SiK-NR"	"Collaborateur(rice) personnel(le)"		2020-02-09		2020-02-09T12:20:42	2020-02-28T14:23:03
1159	413	868	"WBK-NR"	"Pronatura"		2020-02-09		2020-02-09T12:20:42	2020-02-24T14:48:08
1161	179	870	"Bü-NR, Del I-V, KVF-NR, RedK-V, SPK-NR"	"Generalsekretärin KS/CS Kommunikation Schweiz"		2020-02-09		2020-02-09T12:20:42	2020-04-16T15:13:40
1162	417	542	"WBK-NR"	"Collaborateur(rice) personnel(le)"		2020-02-09		2020-02-09T12:20:42	2020-03-06T14:14:48
1163	346	95	"WAK-NR"	"Ecopolitics GmbH, Bern"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1164	349	871	"KVF-NR, SiK-NR"	"Schweizerischer Zivildienstverband CIVIVA"		2020-02-09		2020-02-09T12:20:42	2020-02-24T14:46:19
1165	349	872	"KVF-NR, SiK-NR"	"Verein Klimaschutz Schweiz"		2020-02-09		2020-02-09T12:20:42	2020-02-24T14:18:30
1166	206	603	"GPK-NR"	"Parl. Gruppe Schweiz-Israel"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1167	335	873	"SGK-NR"	"Travail.Suisse"		2020-02-09		2020-02-09T12:20:42	2020-02-24T14:41:44
1168	310	408	"APF-V, APK-NR, IPU"	"Organisation des Suisses de l'étranger"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1169	310	334	"APF-V, APK-NR, IPU"	"Invité(e)"		2020-02-09		2020-02-09T12:20:42	2020-05-30T13:54:20
1170	211	874	"SPK-NR, WAK-NR"	"Aids-Hilfe Schweiz / Aide Suisse contre le Sida / Aiuto Aids"		2020-02-09		2020-02-09T12:20:42	2020-02-24T18:07:02
1171	401	609	"Bü-SR, GPK-SR, UREK-SR, WBK-SR"	"Invité(e)"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1172	273	479	"GPK-SR, KVF-SR, RedK-V, SiK-SR"	"ASTAG - Schweizerischer Nutzfahrzeugverband"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1174	4	677	"Del I-V, FK-SR, RedK-V, SGK-SR, WBK-SR"	"Deputazione ticinese alle Camere federali"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1175	275	508	"APK-SR, Del I-V, GPK-SR, OSZE, RedK-V, SPK-SR"	"Ordine dei Medici del Canton Ticino"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1176	275	667	"APK-SR, Del I-V, GPK-SR, OSZE, RedK-V, SPK-SR"	"Ospite"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1177	102	679	"GPDel-V, GPK-SR, SGK-SR, WBK-SR"	"Inclusion Handicap, Bern"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1178	235	166	"APF-V, APK-NS 20-30, APK-SR, ERD-V, RedK-V, RK-SR, WAK-SR"	"Union syndicale suisse"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1179	406	286	"ERD-V, KVF-SR, RedK-V, WBK-SR"	"Canton du Valais"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1180	192	97	"APF-V, APK-SR, BeK-V, Del F-V, EFTA/EU, GPK-SR, RK-SR"	"Groupe interparlementaire Suisse -Arménie"		2020-02-09		2020-02-09T12:20:42	2020-02-25T17:44:21
1181	421	876	"APK-SR, RK-SR, SiK-SR"	"Antenne romande de Bio Suisse"		2020-02-09		2020-02-09T12:20:42	2020-02-24T18:10:56
1182	358	877	"WAK-NR"	"Landwirtschaft mit Zukunft"		2020-02-21		2020-02-21T11:00:19	2020-02-28T14:56:12
1183	362	878	"RK-NR"	"Persönliche/r Mitarbeiter/in"		2020-02-21		2020-02-21T11:00:19	2020-04-28T08:43:41
1184	373	381	"SPK-NR"	"comparis.ch"		2020-02-21		2020-02-21T11:00:19	2020-07-15T17:57:34
1185	340	879	"IK-NR, KVF-NR, RK-NR"	"Persönliche/r Mitarbeiter/in"		2020-02-21		2020-02-21T11:00:19	2020-02-28T11:52:48
1186	343	306	"Del A-V, WBK-NR"	"Gast"		2020-02-21		2020-02-21T11:00:19	2020-02-25T17:44:21
1187	399	218	"RK-NR"	"Gast"		2020-02-21		2020-02-21T11:00:19	2020-02-25T17:44:21
1189	170	167	"Del I-V, KVF-NR, RedK-V"	"Swiss Communication Agency Sagl"		2020-02-21		2020-02-21T11:00:19	2020-07-02T23:06:15
1190	198	237	"Bü-NR, Del D-V, IK-NR, KVF-NR"	"Verband öffentlicher Verkehr VöV"		2020-02-21		2020-02-21T11:00:19	2020-02-25T17:44:21
1191	198	882	"Bü-NR, Del D-V, IK-NR, KVF-NR"	"Gewerbeverein"		2020-02-21		2020-02-21T11:00:19	2020-02-28T15:02:11
1192	4	636	"Del I-V, FK-SR, RedK-V, SGK-SR, WBK-SR"	"Collaboratore/trice personale"		2020-02-21		2020-02-21T11:00:19	2020-02-25T17:44:21
1193	412	880	"WBK-NR"	"Suisseculture"		2020-02-28		2020-02-28T22:11:10	2020-04-16T08:46:50
1194	51	884	"IK-NR, UREK-NR"	"Mr. Campaigning"		2020-03-06		2020-03-06T22:12:51	2020-04-05T15:38:25
1195	364	885	"GPK-NR, SPK-NR"	"Bank Julius Bär & Co. AG"		2020-03-06		2020-03-06T22:12:51	2020-04-06T12:09:11
1196	389	886	"FK-NR, RedK-V"	"Plateforme des ONG suisses pour les droits humains"		2020-03-06		2020-03-06T22:12:51	2020-05-30T13:37:02
1197	375	84	"BeK-V, UREK-NR"	"Swissolar"		2020-03-06		2020-03-06T22:12:51	2020-04-16T15:18:21
1198	291	670	"APK-NR, Del D-V"	"Gast"		2020-03-06		2020-03-06T22:12:51	2020-04-16T08:46:50
1199	397	887	"WBK-NR"	"Lehrerinnen und Lehrer Schweiz LCH"		2020-03-06		2020-03-06T22:12:51	2020-04-06T11:04:26
1200	397	120	"WBK-NR"	"Mitinhaber pluswert gmbh"		2020-03-06		2020-03-06T22:12:51	2020-04-16T08:46:50
1201	404	888	"RK-NR"	"Collaborateur(rice) personnel(le)"		2020-03-06		2020-03-06T22:12:51	2020-04-06T10:54:48
1202	144	889	"SPK-NR, UREK-NR"	"Persönliche/r Mitarbeiter/in"		2020-03-06		2020-03-06T22:12:51	2020-04-06T10:46:55
1203	367	890	"Del FL-V, WAK-NR"	"Fédération romande des consommateurs (FRC)"		2020-03-06		2020-03-06T22:12:51	2020-05-30T13:14:35
1204	333	400	"Del A-V, GK-V, GPK-NR, UREK-NR"	"Schweizer Tourismus-Verband"		2020-03-06		2020-03-06T22:12:51	2020-04-16T08:46:50
1205	411	488	"GPK-NR, SGK-NR"	"Schweizerischer Gewerkschaftsbund"		2020-03-06		2020-03-06T22:12:51	2020-04-16T08:46:50
1206	366	684	"Del D-V, FK-NR"	"Co-Geschäftsleiterin AvenirSocial"		2020-03-06		2020-03-06T22:12:51	2020-04-16T08:46:50
1207	86	891	"Del F-V, ERD-V, FK-SR, KVF-SR, SiK-SR"	"Collaborateur(rice) personnel(le)"		2020-03-06		2020-03-06T22:12:51	2020-04-22T16:04:52
1208	131	892	"Del D-V, FK-SR, KVF-SR, UREK-SR"	"Persönliche/r Mitarbeiter/in"		2020-03-06		2020-03-06T22:12:51	2020-04-16T08:46:50
1209	400	893	"APK-SR, Del FL-V, GPK-SR, WBK-SR"	"SIX Group"		2020-03-06		2020-03-06T22:12:51	2020-04-21T12:33:19
1210	400	18	"APK-SR, Del FL-V, GPK-SR, WBK-SR"	"Schweizerischer Versicherungsverband SVV"		2020-03-06		2020-03-06T22:12:51	2020-04-16T08:46:50
1211	408	894	"GPK-NR, KVF-NR"	"Greenpeace"		2020-03-13		2020-03-13T22:12:14	2020-04-06T11:15:17
1212	402	895	"APF-V, Del F-V, GPK-SR, SiK-SR"	"Invité(e)"		2020-03-13		2020-03-13T22:12:14	2020-04-05T14:29:52
1213	294	896	"WAK-NR"	"Persönliche/r Mitarbeiter/in"		2020-04-04		2020-04-04T15:20:15	2020-04-16T08:46:50
1214	423	897	"GPK-SR, UREK-SR"	"Dynamic Group AG"		2020-04-04		2020-04-04T15:20:15	2020-04-16T08:46:50
1215	340	898	"IK-NR, KVF-NR, RK-NR"	"Gast"		2020-05-03		2020-05-03T09:02:03	2020-05-20T15:09:05
1216	82	899	"APK-NR, APK-NS 20-30, FK-NR, IK-NR"	"Persönliche/r Mitarbeiter/in"		2020-05-03		2020-05-03T09:02:03	2020-05-20T14:40:28
1217	398	900	"RK-NR"	"Collaborateur(rice) personnel(le)"		2020-05-03		2020-05-03T09:02:03	2020-05-20T15:06:21
1218	398	901	"RK-NR"	"ASLOCA Suisse"		2020-05-03		2020-05-03T09:02:03	2020-05-20T14:45:35
1219	412	902	"WBK-NR"	"Collaborateur(rice) personnel(le)"		2020-05-03		2020-05-03T09:02:03	2020-05-03T10:50:55
1220	382	903	"Del D-V, FinDel-V, FK-SR, KVF-SR, WBK-SR"	"Persönliche/r Mitarbeiter/in"		2020-05-03		2020-05-03T09:02:03	2020-05-03T10:50:55
1221	411	904	"GPK-NR, SGK-NR"	"SAJV"		2020-05-10		2020-05-10T16:03:37	2020-05-28T15:09:28
1222	132	301	"WAK-NR"	"Galenica"					2020-07-22T18:04:15
1223	65	905	"Bü-NR, KVF-NR, SiK-NR, VD"	"Geschäftsführer LITRA"		2020-08-30		2020-08-30T23:51:42	2020-09-02T07:34:03
1224	389	906	"FK-NR, RedK-V"	"Collaborateur(rice) personnel(le)"		2020-08-30		2020-08-30T23:51:42	2020-09-02T07:34:03
1226	81	908	"Del D-V, SiK-NR"	"Farner Consulting AG"		2020-08-30		2020-08-30T23:51:42	2020-09-02T07:34:03
1227	285	909	"APK-NR"	"Persönliche/r Mitarbeiter/in"		2020-08-30		2020-08-30T23:51:42	2020-09-02T07:34:03
1228	394	910	"SiK-NR"	"Persönliche/r Mitarbeiter/in"		2020-08-30		2020-08-30T23:51:42	2020-09-02T07:34:03
1229	404	911	"RK-NR"	"Invité(e)"		2020-08-30		2020-08-30T23:51:42	2020-09-02T07:34:03
1231	357	913	"SGK-NR"	"WWF"		2020-08-30		2020-08-30T23:51:42	2020-09-02T07:34:03
1232	15	914	"Bü-VBV-V, SGK-NR, SPK-NR"	"Collaborateur(rice) personnel(le)"		2020-08-30		2020-08-30T23:51:42	2020-09-02T07:34:03
1233	149	915	"WAK-NR"	"Gast"		2020-08-30		2020-08-30T23:51:42	2020-09-02T07:34:03
1234	408	916	"GPK-NR, KVF-NR"	"Initiative des Alpes"		2020-08-30		2020-08-30T23:51:42	2020-09-02T07:34:03
1235	366	917	"Del D-V, FK-NR"	"Schweizerischer Städteverband"		2020-08-30		2020-08-30T23:51:42	2020-09-02T07:34:03
1236	402	918	"APF-V, Del F-V, GPK-SR, SiK-SR"	"Amnesty International section Suisse"		2020-08-30		2020-08-30T23:51:42	2020-09-02T07:34:03
