Titel,KRNr.,VorlagenNr.,Geschaeftsart,Datum,Direktion,Kommission,Pendent bei,Direktlink,
"Mehr Sicherheit, Umweltschutz und Markt im Strassenverkehr durch Selbstkontrolle der Branche",,5526,Vorlage,13.03.2019,Sicherheitsdirektion,Kommission für Justiz und öffentliche Sicherheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4ebbabbe320f42a6a73becb1919c9912,
Gewaltschutzgesetz (GSG),,5528,Vorlage,20.03.2019,Sicherheitsdirektion,Kommission für Justiz und öffentliche Sicherheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0d4c9478a00c49308f69a3df0f25f867,
Aufhebung des Fonds zur Absicherung der Staatsgarantie für die Zürcher Kantonalbank (§ 6 Abs. 5 Kantonalbankgesetz),113/2019,,Motion,01.04.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d6d3f86812bb4f159bb6744d7433c656,
Nur Access-Controller oder doch richtiges Sicherheitspersonal?,114/2019,,Anfrage,01.04.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d0f611f42abc4854af8b88b7cba15f11,
Budgeterhöhung für das Jugendparlament um 150 %,115/2019,,Anfrage,01.04.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2d842159c3e04e49aece2bcfa4751587,
Bericht zu den Petitionen des Jugendparlaments,116/2019,,,26.02.2019,,Kommission für Bildung und Kultur,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0291221465a24caf9cba6d193db38e05,
Festsetzung Budget für das Rechnungsjahr 2020,,5571,Vorlage,09.05.2019,Finanzdirektion,Finanzkommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5321525b783443c6988cf0144daa5f18,
Tätigkeitsbericht der Finanzkontrolle des Kantons Zürich über das Jahr 2018,206/2019,,,09.05.2019,Finanzkontrolle,Finanzkommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f0f125c153df469a8abc8232ed52b0d1,
Wahl der Mitglieder des Bildungsrates für die Amtsdauer 2019?2023,,5553,Vorlage,22.05.2019,Bildungsdirektion,Kommission für Bildung und Kultur,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=419facb09bc34505a7b2c8fd4e9d75ba,
Jahresbericht der Psychiatrischen Universitätsklinik Zürich und Bericht über die Umsetzung der Eigentümerstrategie für das Jahr 2018,,5552,Vorlage,22.05.2019,Gesundheitsdirektion,Aufsichtskommission Bildung und Gesundheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=19e4ae2cbc5f425eaece23b388938752,
Jahresbericht Kantonsspital Winterthur für das Jahr 2018,,5551,Vorlage,22.05.2019,Gesundheitsdirektion,Aufsichtskommission Bildung und Gesundheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=40d41ec6c59f440297604cf86b5c3489,
Jahresbericht Universitätsspital Zürich und Bericht über die Umsetzung der Eigentümerstrategie für das Jahr 2018,,5550,Vorlage,22.05.2019,Gesundheitsdirektion,Aufsichtskommission Bildung und Gesundheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=fc2fe8c62a584e03a8898e4dec7d31fc,
Änderung der Gemeindeverordnung (VGG),,5547,Vorlage,22.05.2019,Direktion der Justiz und des Innern,Kommission für Staat und Gemeinden,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=bb27d17cf079463a945b03e5285f2a02,
Unterstützung für LGBT-Jugendliche,173/2019,,Anfrage,03.06.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=08a4fc8002bf4b26b5b4730acbee0262,
Arbeitslast der Beiständinnen und Beistände,174/2019,,Anfrage,03.06.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=14637cc1aead45a2ab244c1fed93fb80,
"Steuergesetz (StG), Änderung, Quellenbesteuerung des Erwerbseinkommens",,5549,Vorlage,22.05.2019,Finanzdirektion,Kommission für Wirtschaft und Abgaben,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7b00de6537fe46ae8e9ee7fd525abe12,
Verbot von Rennen mit Motorfahrzeugen auf öffentlichen Strassen,175/2019,,Einzelinitiative,22.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b0b434c41afd454eb0f4ae31005819f8,
Für ein kommunales Stimm- und Wahlrecht für Ausländerinnen und Ausländer,176/2019,,Behördeninitiative,11.09.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f3fec4cf819c46b78b0c9721fa6aed80,
