Titel,KRNr.,VorlagenNr.,Geschaeftsart,Datum,Direktion,Kommission,Pendent bei,Direktlink,
Damit der Beschluss des Kantonsrates über die Erhöhung der Entschädigung vom 25. November 2019 freiwillig dem Volk zur Zustimmung vorgelegt wird,410/2019,,Einzelinitiative,25.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=979157f5d5654cf7927d9312b1e6c635,
Erhöhung Beschäftigungsgrad Mitglied Steuerrekursgericht,388/2019,,,04.12.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8855f881f0d74e4fb2576eb44138b66e,
Wahl Mitglied Verwaltungsgericht (50%) für Lukas Widmer (Teilrücktritt 50%),134/2020,,Wahl,04.12.2019,,Interfraktionelle Konferenz,Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=29d75585e5b148c5a2553d33439989b0,
Wahl Mitglied STGK für Hannah Pfalzgraf,389/2019,,,04.12.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=6f4ac7b182d44215a06510440378b637,
Transparenz bei der Beurteilung von Regulierungsfolgeabschätzungen,392/2019,,Postulat,09.12.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f94fe7d7fc754124800b97fe23265375,
Anwohner- und landschaftsverträgliche Linienführung für die SBB-Linie zum Brüttenertunnel im Glattal,258/2019,,Dringliches Postulat,26.08.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c8229d34f71f45559ddec0513ceb900f,
Hundegesetz (HuG),,5541,Vorlage,24.04.2019,Gesundheitsdirektion,Kommission für Justiz und öffentliche Sicherheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=26401bd42ee948808449fbfdd0bd2e5b,
Klima-Ziel kompatibel mit dem Klimavertrag von Paris,13/2019,,Parlamentarische Initiative,14.01.2019,,"Kommission für Energie, Verkehr und Umwelt",,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9e420a0742154120b5ecdb03606cbee7,
"Steuergesetz (StG), Änderung, Maklerprovisionen, Gewinne aus Geldspielen, steuerliche Massnahmen im Gebäudebereich, internationale Steuerausscheidung",,5548,Vorlage,22.05.2019,Finanzdirektion,Kommission für Wirtschaft und Abgaben,Erledigt ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a48734a36e6f466ca61bbe174d8efca3,
Umsetzung des Masterplans Kasernenareal,235/2019,,Dringliches Postulat,08.07.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=20f2988e9935414397280b245b81a5f4,
Fachhochschulgesetz,,5589,Vorlage,18.12.2019,Bildungsdirektion,Kommission für Bildung und Kultur,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=38e66de74eff4f4e8e1d25bdad5d319f,
"Kantonale Volksinitiative ""Mehr Geld für Familien""",,5587,Volksinitiative,10.12.2019,Sicherheitsdirektion,Kommission für soziale Sicherheit und Gesundheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=76157aaddb3641a691e2468948621156,
"Objektkredit für den Neubau des Gefängnisses Winterthur, den Rückbau des alten Gefängnisses und den Umbau der Bezirksanlage Winterthur",,5580,Vorlage,14.11.2019,Baudirektion,Kommission für Planung und Bau,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e725e8137c474c41950b61ffb924af79,
Keine Kostenbeteiligung für Gemeinden bei Uferwegen,196/2019,,Parlamentarische Initiative,17.06.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=6d92cce4081d43a8af61dacc5e9476f3,
JUKO Reglement zur Prüfung der Kandidatinnen und Kandidaten für die gesamtkantonalen Gerichte,255/2020,,,20.08.2019,,,Erledigt ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=14b07b3180784eb8bb83af99a5e81a84,
Wahl und Genehmigung Wahl Universitätrat,213/2019,,Parlamentarische Initiative,24.06.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d85f214a172743c582acc32eb461feaa,
Standesinitiative zur Abschaffung der Härtefallklausel,266/2019,,Parlamentarische Initiative,26.08.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=64473415993a4ca38fe3c3968df07231,
Parteistellung der Sozialdienste in Strafverfahren,307/2019,,Parlamentarische Initiative,23.09.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9c53d5c5cf48449f91a5dfbab788d60b,
Uster West ? wie weiter?,3/2019,,Anfrage,07.01.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=17d2c5b22c894358a073c5a06b473213,
Verrechnungen Amt für Jugend- und Berufsberatung (AJB),167/2019,,Anfrage,27.05.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=67fc1d18b55545618fea4d6b64014974,
Situation kjz (Kinder- und Jugendhilfezentren),168/2019,,Anfrage,27.05.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=11026b34ad044a278d2df11305363dbd,
Unzulässige Leistungsverrechnung im KVG,241/2019,,Anfrage,08.07.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=efdb86436f76491985869352966ccc6e,
Massnahmen gegen Verluste von Steuersubstrat bei fehlender Selbstdeklaration,290/2019,,Anfrage,09.09.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=6d97b9cc8baf4d22b339f28be6d36def,
Grundsätze über die mittel- und langfristige Entwicklung von Angebot und Tarif im öffentlichen Personenverkehr,,5558,Vorlage,05.06.2019,Volkswirtschaftsdirektion,"Kommission für Energie, Verkehr und Umwelt",,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c7ea63fb15464cb4bcebd032a44ca64a,
"Einführung einer Geschlechterquote in Kantonsrat, Regierungsrat, den obersten Gerichten sowie dem Ständerat (erneut)",308/2019,,Parlamentarische Initiative,23.09.2019,,,Erledigt Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8ef004dd9662478f813b3ccddb49a2dd,
Ausreichend Veloabstellplätze auf Liegenschaften,341/2019,,Parlamentarische Initiative,11.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=826d55f960d04e098f4a7d82b11968a8,
Planungssicherheit für den Standort des Impact Hub,45/2019,,Postulat,04.02.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=82c1ae4b2b0a476089c8bcbf9d34431e,
Informationspflicht bei Verhängung von Planungszonen,48/2019,,Parlamentarische Initiative,04.02.2019,,Kommission für Planung und Bau,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=605ede07f7724339bafdcd684c25c47c,
Schulhäuser unter Denkmalschutz,161/2019,,Anfrage,27.05.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7c9a7e68666c45389b5a0283dafcd3e2,
Sprachzertifikate an den Zürcher Gymnasien,263/2019,,Postulat,26.08.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=80028909230843f19e4490229c6fe2f4,
Kasernenareal: Auch ein digitaler Leuchtturm für den Kanton Zürich,259/2019,,Dringliches Postulat,26.08.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=704e64991e3d476f80529bb2623cd031,
Anpassung des Jugendstrafrechts,352/2019,,Parlamentarische Initiative,18.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7e3037074c6a462bbe9f1c879f103420,
Wahl und Genehmigung Wahl Fachhochschulrat,214/2019,,Parlamentarische Initiative,24.06.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=31505c714c504163870fd5f7b1df20e6,
"Planungs- und Baugesetz, Strassengesetz. Änderung (Bahntransport von Aushub und Gesteinskörnung)",,5533,Vorlage,10.04.2019,Baudirektion,"Kommission für Energie, Verkehr und Umwelt",,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=36cf3bb388944eccae03517fd3eeac4b,
Rettungsplan für die landwirtschaftliche Forschung im Kanton Zürich,,5536,Vorlage,17.04.2019,Baudirektion,Kommission für Wirtschaft und Abgaben,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2be84b9a70734ca5ac8c4c8489f4fb85,
