id	interessenbindung_id	jahr	verguetung	beschreibung	quelle_url	quelle_url_gueltig	quelle	freigabe_datum
239	3691	2015	"0"	"Kein Honorar, Firma inaktiv"			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30
240	2894	2015	"0"	"Ehrenamtlich"			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30
241	3694	2015	"0"	"Ehrenamtlich"			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30
242	3695	2015	"0"	"Ehrenamtlich"			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30
243	4539	2016	8000		"https://www.comparis.ch/comparis/info/beirat.aspx"			2020-03-27T12:36:09
244	3734	2016	8000	"Für vier halbtägige Sitzungen, inkl. Vor- und Nachbereitung"	"https://www.comparis.ch/comparis/info/beirat.aspx"			2020-04-19T19:28:10
245	4542	2016	8000	"Für vier halbtägige Sitzungen inkl. Vor- und Nachbereitung"	"https://www.comparis.ch/comparis/info/beirat.aspx"			2020-03-27T13:28:36
247	3910	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15
248	3172	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15
249	3168	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15
250	3167	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15
251	3170	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15
252	3171	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15
254	3164	2016	2000				"Schätzung L. Mazzone"	2020-03-12T15:52:15
255	3169	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15
257	4548	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15
258	4549	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15
259	4550	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15
262	4553	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15
263	4554	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15
264	3718	2015	300	"Sitzungsgeld"	"E-Mail 13.3.2016"			2020-03-13T12:38:28
265	3714	2015	"0"	"ehrenamtlich"			"E-Mail 13.3.2016"	2020-03-13T12:38:28
267	3713	2015	5000	"Entschädigung"			"Mail 13.3.2016"	2020-03-13T12:38:28
269	2720	2015	"0"	"ehrenamtlich"	"E-Mail 13.3.2016"			2020-03-13T12:38:28
270	3712	2015	"0"	"ehrenamtlich"	"E-Mail 13.3.2016"			2020-03-13T12:38:28
273	3038	2015	"0"	"Spesenvergütung"			"E-Mail Jauslin 13.3.2016"	2020-03-07T10:50:58
274	3048	2015	"0"	"Ehrenamtlich"			"E-Mail Jauslin 13.3.2016"	2020-03-07T10:50:58
276	3049	2015	"0"	"Ehrenamtlich"			"E-Mail Jauslin 13.3.2016"	2020-03-07T10:50:58
277	3051	2015	"0"	"Ehrenamtlich"			"E-Mail Jauslin 13.3.2016"	2020-03-07T10:50:58
278	3041	2015	"0"	"Spesenvergütung"			"E-Mail Jauslin 13.3.2016"	2020-03-07T10:50:58
288	4563	2016	5000	"Entschädigung Vizepräsidium und Mediensprecherin Romandie"			"Angaben L. Mazzone"	2020-03-12T15:52:15
291	2521	2015	"0"	"Ehrenamtlich"			"E-Mail Büchel 15.8.2016"	2020-03-26T08:43:04
292	2532	2015	"0"	"Ehrenamtlich"			"E-Mail Büchel 15.8.2016"	2020-03-26T08:43:04
309	2745	2015	"0"	"ehrenamtlich"			"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40
310	2769	2015	"0"	"ehrenamtlich"			"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40
312	2762	2015	"0"	"ehrenamtlich"			"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40
313	2747	2015	"0"	"ehrenamtlich"			"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40
314	1236	2015	"0"	"ehrenamtlich"			"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40
316	2741	2015	"0"				"E-Mail Feller 23.8.2016"	2020-03-24T10:46:40
